source_app,target_app,source_file,line,imported_symbol,classification,evidence
bancos,core,apps\tenant\bancos\models.py,5,SintelTenantBaseModel,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,api,apps\tenant\bancos\services\api_mixins.py,1,BaseServiceMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,facturas,apps\tenant\bancos\services\crud_service.py,156,FacturaInterAppAPI,PULL,API inter-app documentada explicitamente como [ABIERTO]/Pull: FacturaInterAppAPI (ver FACTURAS_AUDIT.md §2)
bancos,api,apps\tenant\bancos\api\viewsets.py,11,"IsTenantAdminOrReadOnly, IsTenantMember",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,api,apps\tenant\bancos\api\viewsets.py,12,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,api,apps\tenant\bancos\api\viewsets.py,13,BaseTenantViewSet,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,core,apps\tenant\bancos\api\viewsets.py,14,OrganizationalContextMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
bancos,facturas,apps\tenant\bancos\api\viewsets.py,324,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
bancos,proveedores,apps\tenant\bancos\api\viewsets.py,398,Proveedor,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
bancos,clientes,apps\tenant\bancos\api\viewsets.py,442,Cliente,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
bancos,api,apps\tenant\bancos\views.py,14,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,core,apps\tenant\clientes\models.py,4,SintelTenantBaseModel,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,api,apps\tenant\clientes\services\api_mixins.py,10,BaseServiceMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
